seed_id,seed_url,source_name,year_hint,allowed_domains,include_keywords,follow_keywords,max_depth,max_pages,notes
beijing_jiaotong_211,https://zfc.bjtu.edu.cn/,北京交通大学招生与就业工作处,2024-2026,bjtu.edu.cn|zfc.bjtu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
beijing_gongye_211,https://www.bjut.edu.cn/,北京工业大学,2024-2026,bjut.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
beijing_keji_211,https://zhaosheng.ustb.edu.cn/,北京科技大学本科招生网,2024-2026,ustb.edu.cn|zhaosheng.ustb.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省直通车|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
beijing_huagong_211,https://www.buct.edu.cn/,北京化工大学,2024-2026,buct.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
beijing_you_dian_211,https://zsb.bupt.edu.cn/,北京邮电大学本科招生网,2024-2026,bupt.edu.cn|zsb.bupt.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|专业介绍,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
beijing_linye_211,https://www.bjfu.edu.cn/,北京林业大学,2024-2026,bjfu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
beijing_zhongyi_211,https://www.bucm.edu.cn/,北京中医药大学,2024-2026,bucm.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
beijing_tiyu_211,https://www.bsu.edu.cn/,北京体育大学,2024-2026,bsu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_chuanmei_211,https://www.cuc.edu.cn/,中国传媒大学,2024-2026,cuc.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongyang_caijing_211,https://www.cufe.edu.cn/,中央财经大学,2024-2026,cufe.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
duiwai_maoyi_211,https://www.uibe.edu.cn/,对外经济贸易大学,2024-2026,uibe.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_zhengfa_211,https://www.cupl.edu.cn/,中国政法大学,2024-2026,cupl.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
huabei_dianli_211,https://www.ncepu.edu.cn/,华北电力大学,2024-2026,ncepu.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
zhongguo_dizhi_beijing_211,https://www.cugb.edu.cn/,中国地质大学北京,2024-2026,cugb.edu.cn,广西|本科招生|招生计划|历年分数|录取|招生章程|分省|专业,招生|计划|分数|录取|章程|广西,1,12,211非985全量首轮。
